5430,6240
5430,5888
672,7398
672,6240
3479,5888
4193,5888
5888,7398
9978,8795
4193,5430
5430,9978
5430,7398
5888,9978
5888,6240
9978,6240
637,5888
10038,5430
672,4193
2965,5888
3479,4193
3486,8795
4193,5887
4193,6240
8493,5888
1019,5888
3791,4193
5430,5970
6240,7398
672,5430
1019,5430
1069,2965
1956,8795
2965,3479
2965,6240
5970,6240
1069,7398
1956,5888
2067,3479
3479,5430
3486,5430
3486,5887
3486,5888
637,7398
1021,7398
1069,6240
1956,7398
4193,9978
2475,7398
637,672
637,2965
637,57804
1019,6240
1021,6240
1069,5888
1069,8795
1956,4193
1956,6240
2067,57804
3486,6240
3791,57804
6300,5430
142,5430
142,6240
57804,5430
5430,5883
5430,7374
5888,7374
9978,7398
637,4193
637,5430
672,57804
672,7374
1021,5430
1021,5888
2965,4193
3486,5883
2067,3791
57804,7374
5430,8795
5888,8795
5970,8795
7374,7398
637,1956
637,5883
672,1069
672,3479
1019,3479
1019,4193
1069,1956
1069,4193
1956,9978
2067,8493
2067,5883
3486,8493
3791,5430
10038,6240
57804,6240
6240,7374
472,6240
637,3479
672,1019
672,2965
672,9978
672,5970
1069,5430
1956,3479
1956,57804
2067,4193
2067,6240
472,3791
6300,5888
4193,57804
4193,5883
4193,7374
4193,7398
2475,5430
10038,5883
8493,6240
5887,5888
5887,8795
6240,8795
637,1069
637,2475
1019,2965
1021,1069
1021,57804
1021,9978
1956,5430
3479,8493
5430,5887
8493,9978
5887,6240
5970,7398
637,1021
1017,5430
1019,1069
1019,6300
1956,2965
1956,7374
2067,6300
2067,2475
2067,5888
2965,142
2965,9978
3479,142
3479,5883
3791,5887
4193,2475
2475,6240
142,9978
10038,5888
57804,8493
5430,8493
8493,7374
5883,6240
8795,7398
1021,7374
472,4193
472,5887
472,5888
637,3486
637,9978
637,6240
637,7374
672,1017
672,2067
1017,7398
1021,2965
1021,6300
1021,2475
1069,3479
1069,57804
2067,2965
2067,5430
2067,9978
2965,7374
3479,6240
2965,10038
57804,8795
57804,7398
8493,7398
5883,8795
5970,7374
472,8795
472,637
472,1019
472,1956
472,5883
637,2067
672,8795
1019,5887
1019,5970
1021,2067
1021,5887
1069,9978
1956,5970
2067,142
2965,5887
2965,7398
3479,5887
3486,4193
3486,57804
3791,9978
3791,5970
4193,10038
2475,8493
142,7398
10038,57804
8493,5883
5883,9978
5883,7398
1019,7374
637,142
672,3486
672,3791
672,5883
1017,2965
1019,1956
1019,57804
1019,8795
1069,3486
2067,5887
2965,57804
2965,5430
2965,8795
3791,2475
3791,8493
4193,142
4193,8493
4193,5970
2475,57804
2475,9978
10038,7398
6300,7374
472,1017
472,1021
472,1069
472,2965
472,3479
472,7374
472,7398
672,1021
672,6300
672,2475
672,8493
1019,2067
1019,5883
1019,7398
1021,1956
1069,2067
1069,2475
1069,142
2067,8795
2067,7398
3479,3486
3479,6300
3479,9978
3479,7374
3479,7398
3486,9978
